date,temp_max,temp_min,precipitation,wind,weather
01-01-2010,30.237,19.286999,0,10.464797,Sunny
02-01-2010,28.437,18.737,0,10.703569,Sunny
03-01-2010,28.536999,17.587,0,8.4963045,Sunny
04-01-2010,29.286999,17.937,0,9.726664,Sunny
05-01-2010,31.137,17.786999,0,13.044722,Sunny
06-01-2010,28.987,17.536999,0,8.707237,Sunny
07-01-2010,28.587,18.587,0,12.594856,Sunny
08-01-2010,28.536999,18.987,0,11.770403,Sunny
09-01-2010,27.987,22.887,0,6.9247384,Sunny
10-01-2010,29.187,22.487,0,9.178235,Sunny
11-01-2010,30.187,22.487,0,9.686609,Sunny
12-01-2010,30.286999,22.887,0.1,11.246759,Drizzle
13-01-2010,30.737,22.437,3.1999998,9.957108,Drizzle
14-01-2010,29.286999,22.187,4.7999997,7.69592,Rain
15-01-2010,28.437,21.737,4.7,11.592894,Rain
16-01-2010,28.487,20.087,4.4,6.638072,Rain
17-01-2010,28.987,19.337,0,8.669949,Sunny
18-01-2010,28.837,19.087,0,6.9153743,Sunny
19-01-2010,29.487,17.337,0,9.028754,Sunny
20-01-2010,28.437,16.837,0,7.7043357,Sunny
21-01-2010,28.637,16.987,0,7.7879906,Sunny
22-01-2010,28.337,16.687,0,8.913181,Sunny
23-01-2010,28.637,16.637,0,11.304229,Sunny
24-01-2010,28.737,17.187,0,11.384198,Sunny
25-01-2010,29.087,16.587,0,9.6932955,Sunny
26-01-2010,29.937,17.637,0,10.703569,Sunny
27-01-2010,29.937,18.987,0,10.739832,Sunny
28-01-2010,29.587,19.337,0,11.298495,Sunny
29-01-2010,29.937,18.286999,0,10.495713,Sunny
30-01-2010,30.437,19.087,0,8.854829,Sunny
31-01-2010,29.937,18.536999,0,12.72283,Sunny
01-02-2010,29.587,17.887,0,11.440979,Sunny
02-02-2010,30.337,17.437,0,15.7908325,Sunny
03-02-2010,30.387,17.437,0,12.24,Sunny
04-02-2010,30.687,17.337,0,10.464797,Sunny
05-02-2010,30.587,18.286999,0,11.620809,Sunny
06-02-2010,30.087,19.137,0,12.387348,Sunny
07-02-2010,30.687,18.987,0,12.758432,Sunny
08-02-2010,31.286999,18.337,0,11.966953,Sunny
09-02-2010,30.937,17.137,0,10.787993,Sunny
10-02-2010,30.937,16.437,0,12.387348,Sunny
11-02-2010,31.036999,17.187,0,14.84318,Sunny
12-02-2010,30.987,18.286999,0,11.384198,Sunny
13-02-2010,31.786999,17.887,0,12.387348,Sunny
14-02-2010,32.437,18.587,0,13.584932,Sunny
15-02-2010,32.387,18.536999,0,14.88242,Sunny
16-02-2010,32.187,20.687,0,13.397612,Sunny
17-02-2010,32.887,20.737,0,13.0447235,Sunny
18-02-2010,34.387,21.536999,0,13.049689,Sunny
19-02-2010,33.287,20.987,0,13.891522,Sunny
20-02-2010,33.836998,20.536999,0,15.141414,Sunny
21-02-2010,33.287,22.237,0,13.849477,Sunny
22-02-2010,33.787,22.437,0,14.24163,Sunny
23-02-2010,33.687,23.337,0.6,11.620809,Drizzle
24-02-2010,33.187,22.637,0.2,14.021525,Drizzle
25-02-2010,33.737,22.937,0,13.1041975,Sunny
26-02-2010,33.187,22.687,0,8.4963045,Sunny
27-02-2010,35.387,22.937,0,13.556282,Sunny
28-02-2010,34.987,21.387,0,13.896187,Sunny
01-03-2010,34.787,20.536999,0,13.37825,Sunny
02-03-2010,34.787,20.987,0,14.587776,Sunny
03-03-2010,35.937,21.437,0,15.716793,Sunny
04-03-2010,35.287,21.387,0,13.708391,Sunny
05-03-2010,34.687,21.786999,0,12.43434,Sunny
06-03-2010,35.287,22.187,0,12.594856,Sunny
07-03-2010,35.437,24.087,0,10.8955765,Sunny
08-03-2010,35.987,23.786999,0,11.923557,Sunny
09-03-2010,35.586998,24.036999,0,13.854155,Sunny
10-03-2010,34.687,23.837,0,14.182355,Sunny
11-03-2010,35.387,23.087,0,12.879752,Sunny
12-03-2010,35.137,23.437,0,12.10157,Sunny
13-03-2010,35.287,23.937,0,10.446206,Sunny
14-03-2010,36.637,24.587,0,9.47012,Sunny
15-03-2010,37.037,24.786999,0,13.849477,Sunny
16-03-2010,36.187,24.487,0,14.693999,Sunny
17-03-2010,35.437,22.786999,0,12.096214,Sunny
18-03-2010,35.336998,22.737,0,11.770403,Sunny
19-03-2010,36.237,21.987,0,10.538843,Sunny
20-03-2010,36.987,23.487,0,13.779114,Sunny
21-03-2010,37.586998,23.237,0,12.261158,Sunny
22-03-2010,36.836998,23.187,0,13.276144,Sunny
23-03-2010,36.487,23.137,0,14.471821,Sunny
24-03-2010,35.086998,23.887,0,14.277983,Sunny
25-03-2010,35.437,23.687,0,14.654254,Sunny
26-03-2010,34.836998,23.337,0,12.864649,Sunny
27-03-2010,35.336998,23.286999,0,16.563911,Sunny
28-03-2010,35.537,25.437,0,14.8257065,Sunny
29-03-2010,35.937,25.837,0,15.517629,Sunny
30-03-2010,35.187,25.687,0,17.811815,Sunny
31-03-2010,35.987,25.887,3.1999998,17.81909,Rain
01-04-2010,37.487,25.187,0,15.0038395,Sunny
02-04-2010,37.537,25.087,0,15.496736,Sunny
03-04-2010,37.187,25.987,0,16.09969,Sunny
04-04-2010,37.336998,24.786999,0,13.584932,Sunny
05-04-2010,37.787,24.637,0,12.758432,Sunny
06-04-2010,37.586998,24.237,0,14.81259,Sunny
07-04-2010,37.487,25.437,0,13.281023,Sunny
08-04-2010,36.687,24.337,0,12.522619,Sunny
09-04-2010,37.437,24.337,0,11.91812,Sunny
10-04-2010,38.836998,25.587,0,15.315873,Sunny
11-04-2010,38.187,26.387,0,14.693999,Sunny
12-04-2010,37.437,26.737,0,15.2947035,Sunny
13-04-2010,38.237,26.987,0,16.904673,Sunny
14-04-2010,38.387,27.387,0,14.168641,Sunny
15-04-2010,37.336998,27.387,0,16.516901,Sunny
16-04-2010,36.987,25.437,0,14.693999,Sunny
17-04-2010,36.537,25.687,0,14.007655,Sunny
18-04-2010,37.687,26.286999,0,15.94601,Sunny
19-04-2010,38.086998,27.387,0.2,16.92383,Drizzle
20-04-2010,38.737,27.487,0,13.722565,Sunny
21-04-2010,37.487,27.187,0,15.876775,Sunny
22-04-2010,38.336998,27.036999,0,12.57426,Sunny
23-04-2010,37.737,26.687,0.4,14.332341,Drizzle
24-04-2010,37.336998,26.786999,0,15.379206,Sunny
25-04-2010,37.237,26.987,0,15.807239,Sunny
26-04-2010,36.887,27.036999,0.6,12.904882,Drizzle
27-04-2010,37.336998,26.687,0,16.981165,Sunny
28-04-2010,36.836998,26.687,0.1,15.496736,Drizzle
29-04-2010,36.086998,25.937,0,16.854767,Sunny
30-04-2010,36.737,25.786999,0.2,14.57889,Drizzle
01-05-2010,36.537,26.837,0,14.168641,Sunny
02-05-2010,36.887,27.036999,0,12.849528,Sunny
03-05-2010,37.336998,26.887,0,11.966954,Sunny
04-05-2010,36.237,26.637,0.9,10.739832,Drizzle
05-05-2010,36.937,26.487,0.4,14.003028,Drizzle
06-05-2010,36.487,26.937,0.3,14.512064,Drizzle
07-05-2010,37.437,27.337,0,15.778518,Sunny
08-05-2010,37.387,27.286999,0,12.758432,Sunny
09-05-2010,38.787,27.786999,0,18.678415,Sunny
10-05-2010,39.887,27.587,0,13.854155,Sunny
11-05-2010,39.737,27.987,0,14.336861,Sunny
12-05-2010,39.336998,27.887,0,17.373497,Sunny
13-05-2010,39.237,28.286999,0,18.847641,Sunny
14-05-2010,38.737,28.237,0,18.971008,Sunny
15-05-2010,39.137,28.187,0,17.477621,Sunny
16-05-2010,38.687,28.137,0,15.463246,Sunny
17-05-2010,39.287,27.987,0,15.580141,Sunny
18-05-2010,36.737,27.937,0,18.58451,Sunny
19-05-2010,29.887,25.587,13.2,25.071098,Rain
20-05-2010,26.786999,25.387,31.5,32.696644,Rain
21-05-2010,28.587,25.087,30.699999,29.47826,Rain
22-05-2010,27.837,24.987,14.200001,21.313093,Rain
23-05-2010,35.037,25.786999,0,12.599998,Sunny
24-05-2010,37.037,26.687,0,16.56,Sunny
25-05-2010,38.487,28.437,0,18.448023,Sunny
26-05-2010,38.086998,28.087,0,19.33639,Sunny
27-05-2010,37.737,27.786999,0,20.188908,Sunny
28-05-2010,39.387,27.487,0,16.595179,Sunny
29-05-2010,38.887,28.237,0,11.592894,Sunny
30-05-2010,39.487,29.337,0,11.770403,Sunny
31-05-2010,39.987,29.337,0,14.4,Sunny
01-06-2010,41.187,29.387,0,18.792551,Sunny
02-06-2010,40.487,29.137,0,18.440998,Sunny
03-06-2010,40.287,29.237,0.9,14.458382,Drizzle
04-06-2010,39.787,29.286999,3,17.106628,Rain
05-06-2010,35.987,29.286999,0,16.327497,Sunny
06-06-2010,40.336998,29.137,0.1,16.870138,Drizzle
07-06-2010,40.637,30.487,0.1,22.771244,Drizzle
08-06-2010,39.537,28.187,1.6,14.57889,Drizzle
09-06-2010,36.637,28.036999,0,9.659814,Sunny
10-06-2010,35.787,26.987,4.6,12.7279215,Rain
11-06-2010,33.637,25.587,25,9.779817,Rain
12-06-2010,30.687,24.837,28.9,13.358861,Rain
13-06-2010,30.036999,24.887,34.6,11.726277,Rain
14-06-2010,30.937,26.286999,0.3,18.514643,Drizzle
15-06-2010,31.887,26.737,5.3999996,18.556595,Rain
16-06-2010,31.337,26.987,0,19.969458,Sunny
17-06-2010,32.237,25.937,2.1,19.930477,Drizzle
18-06-2010,31.637,25.837,0.7,15.496736,Drizzle
19-06-2010,29.337,25.286999,8.1,10.365251,Rain
20-06-2010,30.337,25.286999,0.70000005,12.496719,Drizzle
21-06-2010,31.737,26.237,2.1000001,15.379206,Drizzle
22-06-2010,33.537,26.137,5.5000005,14.707222,Rain
23-06-2010,32.937,25.987,13.6,15.629972,Rain
24-06-2010,28.687,25.687,7.6000004,14.618837,Rain
25-06-2010,32.487,25.737,0.5,12.224107,Drizzle
26-06-2010,33.586998,26.437,0,15.4800005,Sunny
27-06-2010,33.487,26.737,0,12.57426,Sunny
28-06-2010,34.187,27.137,0.3,11.384199,Drizzle
29-06-2010,34.586998,27.286999,0.3,11.91812,Drizzle
30-06-2010,33.437,26.137,11,12.6462,Rain
01-07-2010,28.187,24.536999,40.1,15.192682,Rain
02-07-2010,28.987,24.437,5.6,14.039999,Drizzle
03-07-2010,30.587,25.437,1.1,19.255793,Drizzle
04-07-2010,29.887,25.337,2.3000002,10.829959,Drizzle
05-07-2010,27.987,24.437,22.9,15.281989,Rain
06-07-2010,29.837,24.237,36,12.181624,Rain
07-07-2010,25.737,24.036999,23.5,13.684735,Rain
08-07-2010,28.337,24.187,2.8999999,12.413476,Drizzle
09-07-2010,31.887,24.687,8.8,12.641076,Rain
10-07-2010,32.586998,25.637,7.2000003,13.849477,Rain
11-07-2010,29.887,24.637,11.9,12.849528,Rain
12-07-2010,26.937,25.036999,20.3,10.799999,Rain
13-07-2010,32.437,25.437,0.8,16.267857,Drizzle
14-07-2010,30.887,25.036999,17.4,17.339897,Rain
15-07-2010,30.937,25.137,29.7,14.77755,Rain
16-07-2010,29.587,24.687,16.2,11.113451,Rain
17-07-2010,27.937,24.286999,12.2,8.225035,Rain
18-07-2010,31.786999,25.137,3.3000002,11.440979,Rain
19-07-2010,32.437,25.536999,10.799999,11.901798,Rain
20-07-2010,30.437,25.536999,2.1999998,13.493999,Drizzle
21-07-2010,29.536999,24.837,27.899998,14.81259,Rain
22-07-2010,28.286999,24.637,31.9,16.167967,Rain
23-07-2010,29.837,24.687,12.700001,19.881649,Rain
24-07-2010,24.937,23.887,50.2,22.461807,Rain
25-07-2010,26.437,23.786999,22.300003,21.611998,Rain
26-07-2010,30.737,23.937,0.7,24.884306,Drizzle
27-07-2010,29.137,24.786999,2.6000001,18.584509,Drizzle
28-07-2010,27.387,24.337,8.7,17.902534,Rain
29-07-2010,27.237,24.187,6.1,15.94601,Rain
30-07-2010,28.786999,24.587,3.1000001,20.892412,Drizzle
31-07-2010,30.687,24.536999,5.9999995,18.844202,Rain
01-08-2010,31.286999,25.587,0,22.033648,Sunny
02-08-2010,30.987,26.387,0.4,18.511143,Drizzle
03-08-2010,29.187,24.737,17.7,17.283749,Rain
04-08-2010,27.487,24.637,8,15.484185,Drizzle
05-08-2010,26.937,24.536999,7.6,14.578888,Drizzle
06-08-2010,28.587,24.237,6.3999996,23.219301,Drizzle
07-08-2010,30.937,24.487,0.3,18.511143,Drizzle
08-08-2010,31.337,24.987,0.2,12.015589,Drizzle
09-08-2010,31.687,25.536999,0,15.7908325,Sunny
10-08-2010,32.487,26.036999,0.8,14.84318,Drizzle
11-08-2010,30.987,25.437,14.299999,13.0447235,Rain
12-08-2010,31.036999,24.437,16.6,7.7043357,Rain
13-08-2010,27.687,24.387,16.900002,10.44,Rain
14-08-2010,30.536999,24.036999,18,10.799999,Rain
15-08-2010,30.637,24.286999,12.300001,12.768586,Rain
16-08-2010,31.187,24.387,3.6000001,9.178235,Rain
17-08-2010,31.137,24.887,8,6.519877,Rain
18-08-2010,30.937,24.737,3.9,9.793059,Drizzle
19-08-2010,31.737,24.887,1.3000001,9.028754,Drizzle
20-08-2010,29.587,24.536999,2,9.449572,Drizzle
21-08-2010,30.487,23.987,6.5,11.988594,Rain
22-08-2010,32.187,23.837,5.7,7.4128532,Rain
23-08-2010,32.437,24.437,10.8,9.659814,Rain
24-08-2010,31.887,24.487,11.2,10.1376915,Rain
25-08-2010,30.337,24.387,33.399998,10.495713,Rain
26-08-2010,27.987,24.786999,17.6,8.714677,Rain
27-08-2010,30.387,24.637,1.5000001,8.766573,Drizzle
28-08-2010,30.987,25.187,9.700001,12.904882,Rain
29-08-2010,28.587,24.637,19.500002,16.700275,Rain
30-08-2010,28.187,24.187,17.300001,16.981165,Rain
31-08-2010,30.387,24.137,0.5,22.782625,Drizzle
01-09-2010,30.937,25.187,0.6,21.077686,Drizzle
02-09-2010,30.937,25.137,11.700001,20.421871,Rain
03-09-2010,28.187,24.187,45.800003,17.294992,Rain
